datasheet_link,target_col,content
https://lfillumination.com/files/specsheets/EF411B.PDF,lighting,
https://www.acuitybrands.com/api/products/getasset/holophane/1649332/4408a251-09be-4b61-813f-177b3ebcf10c/holophane-care222-hldmpc-cylinder-pendant-with-cord.pdf?abl_version=01%2f12%2f2023+16%3a54%3a24&DOC_Type=SPEC_SHEET,lighting,
https://beghelliusa.com/wp-content/uploads/2022/05/testa_spec.pdf,lighting,
https://www.acuitybrands.com/api/products/getasset/aculux/655780/0f1f94af-cb4e-42fb-a5c0-bcf54a0bb37d/ax2sq-a-2a-3a-g2.pdf?abl_version=01%2f11%2f2023+00%3a10%3a38&DOC_Type=SPEC_SHEET,lighting,
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/1311203/38b21d68-91b8-4ed4-be59-72a0b904381b/hxms.pdf?abl_version=07%2f01%2f2022+18%3a58%3a32&DOC_Type=SPEC_SHEET,lighting,
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/1250116/b7274111-9af8-4298-8280-c23960cd45e7/barnguard-contractor-select-spec-sheet.pdf?abl_version=02%2f28%2f2023+18%3a13%3a38&DOC_Type=SPEC_SHEET,lighting,
https://www.acuitybrands.com/api/products/getasset/juno/663241/8d967175-e7b5-4c95-a232-9f0a267da74a/d1_5_7.pdf?abl_version=10%2f14%2f2022+19%3a54%3a36&DOC_Type=SPEC_SHEET,lighting,
https://beghelliusa.com/wp-content/uploads/2022/06/mpl-spec-15-280w_combined.pdf,lighting,
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/47332/28a353c1-2a40-4bec-81c0-2083787604bf/msfl.pdf?abl_version=10%2f04%2f2022+22%3a57%3a52&DOC_Type=SPEC_SHEET,lighting,
https://www.axislighting.com/application/files/1816/6967/0425/Graze_Perfekt-Perimeter-Recessed.SPEC.pdf,lighting,
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/1098954/1e9ff0a0-da6a-420d-b0c5-e58d1a03cfcd/contractor-select-fml4w-led-wrap.pdf?abl_version=01%2f05%2f2023+14%3a50%3a59&DOC_Type=SPEC_SHEET,lighting,
https://www.contechlighting.com/en/docs/CLB_0720.pdf,lighting,
https://www.lsicorp.com/wp-content/uploads/2020/05/augustaaud-aupleddatasheet.pdf,lighting,
https://www.lsicorp.com/wp-content/uploads/documents/products/constitution-xcn4-specsheet.pdf,lighting,
https://insightlighting.com/download/scope-large-pendant-color-changing-specification-sheet/,lighting,
https://insightlighting.com/download/pex-direct-view-color-changing-specification-sheets/,lighting,
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/1479376/2e88b7bf-2cbf-481d-be66-accb769b45c6/contractor-select-csvt.pdf?abl_version=12%2f14%2f2022+10%3a00%3a30&DOC_Type=SPEC_SHEET,lighting,
https://www.axislighting.com/application/files/1216/7786/1717/EDGE2-Wall.SPEC.pdf,lighting,
https://www.contechlighting.com/en/docs/AW_SERIES_2022.pdf,lighting,
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/1307325/af561dc2-1ece-4dd2-b73f-d609ff6308af/contractor-select-esx1-led.pdf?abl_version=02%2f17%2f2023+14%3a21%3a27&DOC_Type=SPEC_SHEET,lighting,
https://noralighting.com/wp-content/uploads/2021/02/NELOCAC_16in_spec.pdf,lighting,
https://www.intenselighting.com/en/docs/IL_MXG2PSD_WD.pdf,lighting,
https://www.intenselighting.com/en/docs/IL_MXG2PSW.pdf,lighting,
https://noralighting.com/wp-content/uploads/2018/11/NRLM_spec.pdf,lighting,
https://insightlighting.com/download/structure-mini-direct-white-light-spec-sheet/,lighting,
https://noralighting.com/wp-content/uploads/2020/08/NPDBL_spec.pdf,lighting,
https://www.intenselighting.com/en/docs/IL_MXG2PSW_WD.pdf,lighting,
https://www.intenselighting.com/en/docs/IL_SC8DRREM.pdf,lighting,
https://noralighting.com/wp-content/uploads/2022/01/NLUD_spec.pdf,lighting,
https://insightlighting.com/download/scope-mini-surface-color-changing-specification-sheet/,lighting,
https://juno.acuitybrands.com/api/products/getasset/juno/1777018/0517f67e-33eb-4973-a114-1b2563aaa4b0/jfx.pdf?abl_version=03%2f14%2f2023+18%3a11%3a50&DOC_Type=SPEC_SHEET,lighting,
https://www.kelvix.com/product/signwave-3/spec-sheet/,lighting,
https://www.kelvix.com/product/brett-502/spec-sheet/,lighting,
https://www.q-tran.com/Customer-Content/www/products/Files/ORD_EXT_VERS09.pdf?d=8292022114811,lighting,
https://www.q-tran.com/Customer-Content/www/products/Files/ORD_EXT_VERS08.pdf?d=88202230058,lighting,
https://www.q-tran.com/Customer-Content/www/products/Files/ORD-FXT-WURM-RGBW.pdf?d=34202282606,lighting,
https://www.q-tran.com/Customer-Content/www/products/Files/ORD-FXT-KURV-BK-SC.pdf?d=5202022124454,lighting,
https://www.q-tran.com/Customer-Content/www/products/Files/ORD_FXT_EMBD-FLAT.pdf?d=125202312226,lighting,
